Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"13.69.116.107",443,28,9608,14,5770,14,3838
"157.240.205.55",443,381,54437,194,29052,187,25385
"213.141.122.211",443,29,8297,15,6028,14,2269
"157.240.247.63",443,64,37665,37,34568,27,3097
"20.190.181.23",443,37,32023,22,23647,15,8376
"199.232.41.140",443,3167,2378091,1903,1559817,1264,818274
"151.101.9.140",443,55932,71682070,48605,71182203,7327,499867
"52.85.49.112",443,34,9899,14,7371,20,2528
"40.126.53.21",443,100,75783,55,54697,45,21086
"34.120.195.249",443,22,5933,11,4743,11,1190
"20.223.36.55",443,29,11396,13,7631,16,3765
"20.54.110.119",443,25,8879,12,6074,13,2805
"20.42.65.90",443,26,8993,13,5711,13,3282
"216.58.210.141",443,224,41589,109,25325,115,16264
"62.165.155.50",443,1349,1188020,990,1154817,359,33203
"162.159.138.232",443,13,2071,7,1122,6,949
"216.58.209.202",443,36,14994,20,13023,16,1971
"62.165.155.18",443,757,689234,560,670472,197,18762
"20.42.65.84",443,32,11052,16,5956,16,5096
"216.58.211.227",443,1052,106560,611,66247,441,40313
"2620:1ec:12::239",443,4,344,0,0,4,344
"204.79.197.239",443,112,43911,68,33036,44,10875
"13.107.21.200",443,87,38260,49,29246,38,9014
"2a00:1450:4026:804::200a",443,1,86,0,0,1,86
"216.58.210.170",443,26,4085,13,2264,13,1821
"51.132.193.104",443,61,20681,29,11767,32,8914
"94.130.182.214",443,307,113881,141,46397,166,67484
"149.154.167.99",443,63208,57676810,49847,56183747,13361,1493063
"149.154.174.200",443,624,628018,516,615696,108,12322
"149.154.170.200",443,2066,2207048,1760,2176754,306,30294
"173.194.18.9",443,121,61662,62,39654,59,22008
"216.58.210.138",443,164,38910,86,23787,78,15123
"89.166.85.211",443,143,124421,101,115581,42,8840
"140.82.121.5",443,24,6902,10,5627,14,1275
"51.105.236.244",443,45,24181,18,9352,27,14829
"216.58.209.173",443,52,14263,28,11091,24,3172
"20.42.65.91",443,31,9934,14,5834,17,4100
"40.83.50.91",443,197,161200,125,118639,72,42561
"52.182.143.211",443,110,39165,55,22986,55,16179
"20.242.39.171",443,45,23116,18,5215,27,17901
"20.54.24.69",443,21,5023,9,3683,12,1340
"23.43.110.55",443,69,26992,39,22849,30,4143
"20.189.173.15",443,31,10891,14,5734,17,5157
"51.124.78.146",443,23,6959,12,4955,11,2004
"162.159.135.234",443,8590,979349,4377,738853,4213,240496
"20.223.35.26",443,37,14322,18,9061,19,5261
"213.141.122.228",443,34,6563,17,4537,17,2026
"162.159.128.233",443,71,13612,34,5226,37,8386
"13.89.178.27",443,28,9488,14,5770,14,3718
"2001:14b8:1800:303::3ea5:9f12",443,6,516,0,0,6,516
"62.165.159.18",443,300,238068,221,229971,79,8097
"35.156.224.161",443,80,19795,36,15547,44,4248
"51.104.136.2",443,50,15720,24,10220,26,5500
"20.50.80.213",443,26,8546,12,5614,14,2932
"34.117.14.220",443,64,14310,32,10402,32,3908
"151.101.245.229",443,440,544525,375,539722,65,4803
"172.66.47.32",443,276,286828,213,282157,63,4671
"62.183.170.19",443,104,32644,57,22903,47,9741
"34.226.32.221",443,167,39498,82,24054,85,15444
"52.217.138.17",443,157,93188,104,86156,53,7032
"34.234.183.45",443,314,77570,136,35387,178,42183
"52.21.186.117",443,57,18324,28,7725,29,10599
"34.158.0.131",4070,749,74827,294,22156,455,52671
"162.254.198.44",27037,5741,584905,2873,386711,2868,198194
"192.168.1.1",38400,13,4707,7,4171,6,536
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",49152,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",49153,1,86,1,86,0,0
"192.168.1.31",49154,30,10057,12,2075,18,7982
"192.168.1.31",49155,22,8616,9,1504,13,7112
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",49157,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",49158,1,86,1,86,0,0
"192.168.1.31",49159,38,16706,17,6050,21,10656
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",49160,1,86,1,86,0,0
"192.168.1.31",49161,22,8648,9,1536,13,7112
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",49162,1,86,1,86,0,0
"192.168.1.31",49163,35,14431,14,3903,21,10528
"192.168.1.31",49164,22,9956,9,1530,13,8426
"192.168.1.31",49169,20,1562,14,877,6,685
"192.168.1.31",49170,27,6615,15,1434,12,5181
"192.168.1.31",49180,40,10861,19,3029,21,7832
"192.168.1.31",49185,31,10389,16,4457,15,5932
"192.168.1.31",49211,38,10741,19,3029,19,7712
"192.168.1.31",49219,36,8796,15,2295,21,6501
"192.168.1.31",49241,37,10687,18,2975,19,7712
"192.168.1.31",49242,30,10433,14,2395,16,8038
"192.168.1.31",49247,20,1562,14,877,6,685
"192.168.1.31",49248,26,6562,14,1380,12,5182
